"filename", "language", "JSON", "JavaScript", "Markdown", "Shell Script", "CSS", "HTML", "Properties", "Ignore", "YAML", "XML", "comment", "blank", "total"
"c:\Users\fjvem\Desktop\graph-width-visualizer\.eslintrc.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\fjvem\Desktop\graph-width-visualizer\README.md", "Markdown", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 17, 86
"c:\Users\fjvem\Desktop\graph-width-visualizer\package-lock.json", "JSON", 2912, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2913
"c:\Users\fjvem\Desktop\graph-width-visualizer\package.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Components\Button.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Components\Chapter.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Components\ContextMenu.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 33
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Components\Graph.js", "JavaScript", 0, 1588, 0, 0, 0, 0, 0, 0, 0, 0, 64, 299, 1951
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Components\Roadmap.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 73
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Components\Section.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Components\Sidebar.js", "JavaScript", 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 250
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Components\Tree.js", "JavaScript", 0, 1100, 0, 0, 0, 0, 0, 0, 0, 0, 75, 253, 1428
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Components\TreeContextMenu.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 44
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Components\TreeDecomposition.js", "JavaScript", 0, 385, 0, 0, 0, 0, 0, 0, 0, 0, 8, 69, 462
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Handlers\ChapterHandler.js", "JavaScript", 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 13, 96, 707
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Handlers\SectionHandler.js", "JavaScript", 0, 1097, 0, 0, 0, 0, 0, 0, 0, 0, 49, 117, 1263
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Utilities\d3-context-menu.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 41
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Utilities\graphs.js", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 175
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Utilities\helpers.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 53
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\Utilities\readTree.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 104
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\.gitattributes", "Properties", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\.npmignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\.travis.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\CHANGELOG.md", "Markdown", 0, 0, 1097, 0, 0, 0, 0, 0, 0, 0, 0, 736, 1833
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\CONTRIBUTING.md", "Markdown", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 23, 93
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\README.md", "Markdown", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 13, 49
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\comment\comment.js", "JavaScript", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 210
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\comment\continuecomment.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 115
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\dialog\dialog.css", "CSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\dialog\dialog.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 11, 22, 164
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\autorefresh.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 48
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\fullscreen.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\fullscreen.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 42
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\panel.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 130
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\placeholder.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 64
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\display\rulers.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 52
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\closebrackets.js", "JavaScript", 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 192
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\closetag.js", "JavaScript", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 37, 15, 185
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\continuelist.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 102
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\matchbrackets.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 159
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\matchtags.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 67
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\edit\trailingspace.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 28
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\brace-fold.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 106
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\comment-fold.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 60
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\foldcode.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 158
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\foldgutter.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\foldgutter.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 164
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\indent-fold.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 49
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\markdown-fold.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 50
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\fold\xml-fold.js", "JavaScript", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 185
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\anyword-hint.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 42
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\css-hint.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 67
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\html-hint.js", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 197, 3, 351
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\javascript-hint.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 163
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\show-hint.css", "CSS", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\show-hint.js", "JavaScript", 0, 408, 0, 0, 0, 0, 0, 0, 0, 0, 11, 59, 478
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\sql-hint.js", "JavaScript", 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 305
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\hint\xml-hint.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 124
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\coffeescript-lint.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 48
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\css-lint.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 41
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\html-lint.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 60
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\javascript-lint.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 64
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\json-lint.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 41
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\lint.css", "CSS", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 1, 10, 74
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\lint.js", "JavaScript", 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32, 256
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\lint\yaml-lint.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 42
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\merge\merge.css", "CSS", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 16, 120
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\merge\merge.js", "JavaScript", 0, 883, 0, 0, 0, 0, 0, 0, 0, 0, 26, 98, 1007
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\mode\loadmode.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 67
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\mode\multiplex.js", "JavaScript", 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 132
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\mode\multiplex_test.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 34
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\mode\overlay.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 91
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\mode\simple.js", "JavaScript", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 217
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\runmode\colorize.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 41
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\runmode\runmode-standalone.js", "JavaScript", 0, 273, 0, 0, 0, 0, 0, 0, 0, 0, 28, 33, 334
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\runmode\runmode.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 77
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\runmode\runmode.node.js", "JavaScript", 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 27, 31, 330
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\scroll\annotatescrollbar.js", "JavaScript", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 123
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\scroll\scrollpastend.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 49
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\scroll\simplescrollbars.css", "CSS", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 10, 67
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\scroll\simplescrollbars.js", "JavaScript", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 153
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\search\jump-to-line.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 51
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\addon\search\match-highlighter.js", "JavaScript", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 19, 15, 168
