Date : 2020-06-24 10:18:46
Directory : c:\Users\fjvem\Desktop\graph-width-visualizer
Total : 603 files,  108264 codes, 6506 comments, 13575 blanks, all 128345 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JavaScript   |        326 |     76,183 |      6,105 |      7,845 |     90,133 |
| HTML         |        185 |     23,565 |         11 |      4,112 |     27,688 |
| CSS          |         78 |      4,189 |        388 |        819 |      5,396 |
| JSON         |          3 |      2,996 |          0 |          3 |      2,999 |
| Markdown     |          4 |      1,272 |          0 |        789 |      2,061 |
| XML          |          1 |         19 |          0 |          1 |         20 |
| Properties   |          2 |         14 |          0 |          3 |         17 |
| Ignore       |          1 |         14 |          0 |          1 |         15 |
| Shell Script |          2 |          7 |          2 |          1 |         10 |
| YAML         |          1 |          5 |          0 |          1 |          6 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        603 |    108,264 |      6,506 |     13,575 |    128,345 |
| public                                                                                                     |        595 |    105,119 |      6,504 |     13,530 |    125,153 |
| public\Components                                                                                          |         10 |      3,442 |        156 |        692 |      4,290 |
| public\Handlers                                                                                            |          2 |      1,695 |         62 |        213 |      1,970 |
| public\Utilities                                                                                           |          4 |        331 |          8 |         34 |        373 |
| public\codemirror                                                                                          |        576 |     98,610 |      6,259 |     12,393 |    117,262 |
| public\codemirror\addon                                                                                    |         68 |      8,018 |        633 |        950 |      9,601 |
| public\codemirror\addon\comment                                                                            |          2 |        298 |         14 |         13 |        325 |
| public\codemirror\addon\dialog                                                                             |          2 |        159 |         11 |         27 |        197 |
| public\codemirror\addon\display                                                                            |          6 |        292 |         12 |         39 |        343 |
| public\codemirror\addon\edit                                                                               |          6 |        607 |         67 |         59 |        733 |
| public\codemirror\addon\fold                                                                               |          8 |        686 |         26 |         81 |        793 |
| public\codemirror\addon\hint                                                                               |          8 |      1,225 |        229 |        113 |      1,567 |
| public\codemirror\addon\lint                                                                               |          8 |        508 |         38 |         80 |        626 |
| public\codemirror\addon\merge                                                                              |          2 |        987 |         26 |        114 |      1,127 |
| public\codemirror\addon\mode                                                                               |          5 |        459 |         22 |         60 |        541 |
| public\codemirror\addon\runmode                                                                            |          4 |        640 |         64 |         78 |        782 |
| public\codemirror\addon\scroll                                                                             |          4 |        335 |          6 |         51 |        392 |
| public\codemirror\addon\search                                                                             |          6 |        747 |         46 |         91 |        884 |
| public\codemirror\addon\selection                                                                          |          3 |        250 |         11 |         31 |        292 |
| public\codemirror\addon\tern                                                                               |          3 |        693 |         58 |        102 |        853 |
| public\codemirror\addon\wrap                                                                               |          1 |        132 |          3 |         11 |        146 |
| public\codemirror\bin                                                                                      |          2 |         36 |          1 |          6 |         43 |
| public\codemirror\demo                                                                                     |         45 |      3,487 |          1 |        511 |      3,999 |
| public\codemirror\doc                                                                                      |         11 |      6,266 |          1 |        939 |      7,206 |
| public\codemirror\keymap                                                                                   |          3 |      6,188 |        312 |        181 |      6,681 |
| public\codemirror\lib                                                                                      |          2 |      8,364 |        907 |        858 |     10,129 |
| public\codemirror\mode                                                                                     |        287 |     44,659 |      2,832 |      6,089 |     53,580 |
| public\codemirror\mode\apl                                                                                 |          2 |        225 |          2 |         21 |        248 |
| public\codemirror\mode\asciiarmor                                                                          |          2 |        106 |          2 |         14 |        122 |
| public\codemirror\mode\asn.1                                                                               |          2 |        255 |          4 |         25 |        284 |
| public\codemirror\mode\asterisk                                                                            |          2 |        315 |         25 |         37 |        377 |
| public\codemirror\mode\brainfuck                                                                           |          2 |        142 |         16 |         14 |        172 |
| public\codemirror\mode\clike                                                                               |          4 |      1,873 |        178 |        200 |      2,251 |
| public\codemirror\mode\clojure                                                                             |          3 |        686 |         13 |         75 |        774 |
| public\codemirror\mode\cmake                                                                               |          2 |        196 |         10 |         22 |        228 |
| public\codemirror\mode\cobol                                                                               |          2 |        445 |         10 |         12 |        467 |
| public\codemirror\mode\coffeescript                                                                        |          2 |        902 |          6 |        193 |      1,101 |
| public\codemirror\mode\commonlisp                                                                          |          2 |        269 |          2 |         32 |        303 |
| public\codemirror\mode\crystal                                                                             |          2 |        440 |         20 |         91 |        551 |
| public\codemirror\mode\css                                                                                 |          9 |      1,496 |         20 |        240 |      1,756 |
| public\codemirror\mode\cypher                                                                              |          3 |        223 |          6 |         26 |        255 |
| public\codemirror\mode\d                                                                                   |          3 |        459 |          4 |         47 |        510 |
| public\codemirror\mode\dart                                                                                |          2 |        202 |          8 |         29 |        239 |
| public\codemirror\mode\diff                                                                                |          2 |        143 |          2 |         21 |        166 |
| public\codemirror\mode\django                                                                              |          2 |        332 |         45 |         54 |        431 |
| public\codemirror\mode\dockerfile                                                                          |          3 |        287 |        106 |         22 |        415 |
| public\codemirror\mode\dtd                                                                                 |          2 |        191 |         12 |         30 |        233 |
| public\codemirror\mode\dylan                                                                               |          3 |        704 |         47 |         99 |        850 |
| public\codemirror\mode\ebnf                                                                                |          2 |        261 |          9 |         29 |        299 |
| public\codemirror\mode\ecl                                                                                 |          2 |        228 |          3 |         29 |        260 |
| public\codemirror\mode\eiffel                                                                              |          2 |        481 |         52 |         58 |        591 |
| public\codemirror\mode\elm                                                                                 |          2 |        266 |          2 |         38 |        306 |
| public\codemirror\mode\erlang                                                                              |          2 |        535 |         63 |         99 |        697 |
| public\codemirror\mode\factor                                                                              |          2 |        120 |         23 |         21 |        164 |
| public\codemirror\mode\fcl                                                                                 |          2 |        235 |          3 |         45 |        283 |
| public\codemirror\mode\forth                                                                               |          2 |        217 |         12 |         28 |        257 |
| public\codemirror\mode\fortran                                                                             |          2 |        232 |          3 |         36 |        271 |
| public\codemirror\mode\gas                                                                                 |          2 |        345 |         17 |         53 |        415 |
| public\codemirror\mode\gfm                                                                                 |          3 |        428 |          4 |         34 |        466 |
| public\codemirror\mode\gherkin                                                                             |          2 |        166 |         30 |         32 |        228 |
| public\codemirror\mode\go                                                                                  |          2 |        252 |          2 |         20 |        274 |
| public\codemirror\mode\groovy                                                                              |          2 |        285 |          5 |         29 |        319 |
| public\codemirror\mode\haml                                                                                |          3 |        271 |         18 |         51 |        340 |
| public\codemirror\mode\handlebars                                                                          |          2 |        117 |          8 |         29 |        154 |
| public\codemirror\mode\haskell                                                                             |          2 |        324 |          3 |         16 |        343 |
| public\codemirror\mode\haskell-literate                                                                    |          2 |        268 |          2 |         57 |        327 |
| public\codemirror\mode\haxe                                                                                |          2 |        560 |         13 |         68 |        641 |
